"identifier","labels","text","en","es-CO","de","fr-CA","nl","de-CH","es-AR","en-GH"
"TeacherSurveyIntro","teacher_survey_classroom","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project","you will complete Part B separately for each classroom. <br><br>If you teach a single subject","please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin","select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project","you will complete Part B separately for each classroom. <br><br>If you teach a single subject","please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin","select the """"Next"""" button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>Esta es la Parte B de la encuesta.</b><br> <br> <p><font face=Verdana size=4>En la Parte B"
"TeacherNumberClasses","teacher_survey_classroom","How many classrooms do you teach that contain students participating in this research project?","How many classrooms do you teach that contain students participating in this research project?","¿En cuántos de los salones donde usted enseña hay estudiantes que participen en este proyecto?","Wie viele Klassen unterrichten Sie","in denen Schüler an diesem Forschungsprojekt teilnehmen?","Combien de classes enseignez-vous qui contiennent des élèves participant à ce projet de recherche ?","Hoeveel klaslokalen geeft u les waarin studenten deelnemen aan dit onderzoeksproject?","Wie viele Klassen unterrichten Sie","How many classrooms do you teach that contain students participating in this research project?"
"TeacherOtherAdult","teacher_survey_classroom","Is there another adult who is paid to help you in this classroom (e.g.","teaching assistant","co-lead teacher","etc.)?","Is there another adult who is paid to help you in this classroom (e.g.","teaching assistant","co-lead teacher","etc.)?","¿Hay algún otro adulto que reciba remuneración por ayudarle en este salón (por ejemplo"
"TeacherOtherAdult","teacher_survey_classroom","Yes","Yes","Sí","Ja","Oui","Ja","Ja","Sí","Yes"
"TeacherOtherAdult","teacher_survey_classroom","No","No","No","Nein","Non","Nee","Nein","No","No"
"TeacherStudentsEnroll","teacher_survey_classroom","How many students are enrolled in this classroom?","How many students are enrolled in this classroom?","¿Cuántos estudiantes hay matriculados en este salón?","Wie viele Schüler sind in dieser Klasse eingeschrieben?","Combien d'élèves sont inscrits dans cette salle de classe ?","Hoeveel studenten zijn er ingeschreven in dit klaslokaal?","Wie viele Schüler sind in dieser Klasse eingeschrieben?","¿Cuántos estudiantes hay matriculados en este salón?","How many students dem enroll for this classroom?"
"TeacherStudentsEnroll","teacher_survey_classroom","number of students","number of students","número de estudiantes","Anzahl der Schüler","nombre d'élèves","aantal studenten","Anzahl der Schüler","número de estudiantes","number of students"
"TeacherStudentsGender","teacher_survey_classroom","How many children of each gender are in this class?","How many children of each gender are in this class?","¿Cuántos niños de cada género hay en esta clase?","Wie viele Kinder jedes Geschlechts sind in dieser Klasse?","Combien d'enfants de chaque sexe y a-t-il dans cette classe ?","Hoeveel kinderen van elk geslacht zijn er in deze klas?","Wie viele Kinder jedes Geschlechts gibt es in dieser Klasse?","¿Cuántos niños de cada género hay en esta clase?","How many children of each gender are in this class?"
"TeacherStudentsGenderGirls","teacher_survey_classroom","number","number","número de","Anzahl","nombre","aantal","Anzahl","número de","number"
"TeacherStudentsGenderGirls","teacher_survey_classroom","Girls","Girls","Niñas","Mädchen","Filles","Meisjes","Mädchen","Niñas","Girls"
"TeacherStudentsGenderBoys","teacher_survey_classroom","number","number","número de","Anzahl","nombre","aantal","Anzahl","número de","number"
"TeacherStudentsGenderBoys","teacher_survey_classroom","Boys","Boys","Niños","Jungen","Garçons","Jongens","Jungen","Niños","Boys"
"TeacherStudentsGenderNonbinary","teacher_survey_classroom","number","number","número de","Anzahl","nombre","aantal","Anzahl","número de","number"
"TeacherStudentsGenderNonbinary","teacher_survey_classroom","Nonbinary","Nonbinary","No binario","Nicht-binär","Non binaire","Niet-binair","Nicht-binär","No binario","Nonbinary"
"TeacherStudentsGenderOther","teacher_survey_classroom","number","number","número de","Anzahl","nombre","aantal","Anzahl","número de","number"
"TeacherStudentsGenderOther","teacher_survey_classroom","Other","Other","Otro","Andere","Autre","Anders","Sonstige","Otro","Other"
"TeacherStudentsAges","teacher_survey_classroom","As of today's date","how many children in this class are each of the following age levels?","As of today's date","how many children in this class are each of the following age levels?","A hoy","¿cuántos niños(as) de este salón se ubican en los siguientes rangos de edad?","Wie viele Kinder in dieser Klasse haben zum heutigen Datum jedes der folgenden Altersstufen erreicht?","À la date d'aujourd'hui","combien d'enfants de cette classe ont chacun des niveaux d'âge suivants ?"
"TeacherStudentsAges5","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges5","teacher_survey_classroom","5 years old or younger","5 years old or younger","5 años o menos","5 Jahre alt oder jünger","5 ans ou moins","5 jaar of jonger","5 Jahre alt oder jünger","5 años o menos","5 years old or younger"
"TeacherStudentsAges6","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges6","teacher_survey_classroom","6 years old","6 years old","6 años","6 Jahre alt","6 ans","6 jaar","6 Jahre alt","6 años","6 years old"
"TeacherStudentsAges7","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges7","teacher_survey_classroom","7 years old","7 years old","7 años","7 Jahre alt","7 ans","7 jaar","7 Jahre alt","7 años","7 years old"
"TeacherStudentsAges8","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges8","teacher_survey_classroom","8 years old","8 years old","8 años","8 Jahre alt","8 ans","8 jaar oud","8 Jahre alt","8 años","8 years old"
"TeacherStudentsAges9","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges9","teacher_survey_classroom","9 years old","9 years old","9 años","9 Jahre alt","9 ans","9 jaar oud","9 Jahre alt","9 años","9 years old"
"TeacherStudentsAges10","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges10","teacher_survey_classroom","10 years old","10 years old","10 años","10 Jahre alt","10 ans","10 jaar oud","10 Jahre alt","10 años","10 years old"
"TeacherStudentsAges11","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges11","teacher_survey_classroom","11 years old","11 years old","11 años","11 Jahre alt","11 ans","11 jaar oud","11 Jahre alt","11 años","11 years old"
"TeacherStudentsAges12","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges12","teacher_survey_classroom","12 years old","12 years old","12 años","12 Jahre alt","12 ans","12 jaar oud","12 Jahre alt","12 años","12 years old"
"TeacherStudentsAges13","teacher_survey_classroom","number","number","Número de niños(as)","Anzahl","nombre","aantal","Anzahl","Número de niños(as)","number"
"TeacherStudentsAges13","teacher_survey_classroom","13 years old or older","13 years old or older","13 años o más","13 Jahre alt oder älter","13 ans ou plus","13 jaar of ouder","13 Jahre oder älter","13 años o más","13 years old or older"
"TeacherMultigrade","teacher_survey_classroom","Do you currently teach a multigrade class?","Do you currently teach a multigrade class?","¿Enseña actualmente en un salón multigrado?","Unterrichten Sie derzeit eine Mehrstufenklasse?","Enseignez-vous actuellement dans une classe multi-niveaux ?","Geeft u momenteel les in een multigrade klas?","Unterrichten Sie derzeit eine Mehrstufenklasse?","¿Enseña actualmente en un salón multigrado?","Right now"
"TeacherMultigrade","teacher_survey_classroom","Yes","Yes","Sí","Ja","Oui","Ja","Ja","Sí","Yes"
