identifier,labels,text,en,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH
TeacherSurveyIntro,teacher_survey_classroom,"<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the ""Next"" button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>Esta es la Parte B de la encuesta.</b><br> <br> <p><font face=Verdana size=4>En la Parte B, las preguntas son específicas para el aula. Si enseña más de una clase de estudiantes incluidos en este proyecto, deberá completar la Parte B por separado para cada aula. <br><br>Si enseña una materia en particular, complete al máximo sus posibilidades las preguntas relacionadas con otras materias o consulte con un colega para esos detalles únicamente. <br><br>Cuando esté listo para comenzar, seleccione el botón ""Siguiente"". <br><br><b><font face=Verdana size=4>¡Gracias!","<b><font face=Verdana size=4>Dies ist Teil B der Umfrage.</b><br> <br> <p><font face=Verdana size=4>In Teil B sind die Fragen klassenbezogen. Wenn Sie mehr als eine Klasse unterrichten, die in dieses Projekt einbezogen ist, führen Sie Teil B für jede Klasse separat durch. <br><br>Wenn Sie nur ein Fach unterrichten, beantworten Sie die Fragen, die sich auf andere Fächer beziehen, nach bestem Wissen oder konsultieren Sie für diese Details einen Kollegen. <br><br>Wenn Sie bereit sind zu beginnen, klicken Sie auf die Schaltfläche „Weiter“. <br><br><b><font face=Verdana size=4>Vielen Dank!","<b><font face=Verdana size=4>Ceci est la partie B du sondage.</b><br> <br> <p><font face=Verdana size=4>Dans la partie B, les questions sont spécifiques à la salle de classe. Si vous enseignez à plus d'une classe d'élèves inclus dans ce projet, vous devrez compléter la partie B séparément pour chaque classe.<br><br>Si vous enseignez une seule discipline, veuillez répondre aux questions qui se rapportent à d'autres matières au mieux de votre connaissance ou consulter un collègue pour ces détails uniquement.<br><br>Quand vous êtes prêt à commencer, sélectionnez le bouton « Suivant ».<br><br><b><font face=Verdana size=4>Merci!","<b><font face=Verdana size=4>Dit is deel B van de enquête.</b><br> <br> <p><font face=Verdana size=4>In deel B zijn de vragen specifiek voor de klasomgeving. Als je meer dan één klas met studenten in dit project doceert, voltooi dan deel B afzonderlijk voor elk lokaal.<br><br>Als je een enkel vak doceert, voltooi dan de vragen die betrekking hebben op andere vakken naar beste weten of raadpleeg een collega voor die details.<br><br>Wanneer je klaar bent om te beginnen, selecteer de knop “Volgende”.<br><br><b><font face=Verdana size=4>Dank u!","<b><font face=Verdana size=4>Dies ist Teil B der Umfrage.</b><br> <br> <p><font face=Verdana size=4>In Teil B sind die Fragen spezifisch für das Klassenzimmer. Wenn Sie mehr als eine Klasse von Schülern unterrichten, die in diesem Projekt teilnehmen, werden Sie Teil B separat für jede Klasse ausfüllen. <br><br>Falls Sie ein Fach unterrichten, bitte beantworten Sie die Fragen zu anderen Fächern nach bestem Wissen oder besprechen Sie sich mit einem Kollegen bezüglich dieser Punkte. <br><br>Wenn Sie bereit sind zu beginnen, wählen Sie den „Weiter“ Knopf aus. <br><br><b><font face=Verdana size=4>Vielen Dank!","<b><font face=Verdana size=4>Esta es la Parte B de la encuesta.</b><br> <br> <p><font face=Verdana size=4>En la Parte B las preguntas son específicas para cada aula. Si enseñas más de una clase de estudiantes incluidos en este proyecto, deberás completar la Parte B por separado para cada aula. <br><br>Si enseñas una sola materia, completa las preguntas que se refieren a otras materias de acuerdo a tu mejor conocimiento o consulta con un colega solo para esos detalles. <br><br>Cuando estés listo para comenzar, selecciona el botón ""Siguiente"". <br><br><b><font face=Verdana size=4>¡Gracias!","<b><font face=Verdana size=4>This be Part B of de survey.</b><br> <br> <p><font face=Verdana size=4>In Part B, de questions dey specific to de classroom. If you teach more than one class wey dey part of dis project, you go do Part B for each classroom. <br><br>If you teach only one subject, abeg complete de questions related to other subjects de best way you know fit or ask your colleague about dat one. <br><br>When you ready to start, press de “Next” button. <br><br><b><font face=Verdana size=4>Asante!"
TeacherNumberClasses,teacher_survey_classroom,How many classrooms do you teach that contain students participating in this research project?,How many classrooms do you teach that contain students participating in this research project?,¿En cuántos de los salones donde usted enseña hay estudiantes que participen en este proyecto?,"Wie viele Klassen unterrichten Sie, in denen Schüler an diesem Forschungsprojekt teilnehmen?",Combien de classes enseignez-vous qui contiennent des élèves participant à ce projet de recherche ?,Hoeveel klaslokalen geeft u les waarin studenten deelnemen aan dit onderzoeksproject?,"Wie viele Klassen unterrichten Sie, in denen Schüler an diesem Forschungsprojekt teilnehmen?",¿En cuántos de los salones donde usted enseña hay estudiantes que participen en este proyecto?,How many classrooms you dey teach wey dey contain students involved in this research project?
TeacherOtherAdult,teacher_survey_classroom,"Is there another adult who is paid to help you in this classroom (e.g., teaching assistant, co-lead teacher, etc.)?","Is there another adult who is paid to help you in this classroom (e.g., teaching assistant, co-lead teacher, etc.)?","¿Hay algún otro adulto que reciba remuneración por ayudarle en este salón (por ejemplo, un profesor asistente, profesor que trabaja con usted en docencia compartida, entre otros)?","Gibt es einen anderen Erwachsenen, der bezahlt wird, um Ihnen in dieser Klasse zu helfen (z.B. Lehrassistent, Co-Lehrkraft, etc.)?","Y a-t-il un autre adulte payé pour vous aider dans cette salle de classe (par exemple, un assistant enseignant, un enseignant co-directeur, etc.) ?","Is er een andere volwassene die betaald wordt om u in dit klaslokaal te helpen (bijvoorbeeld een onderwijsassistent, co-leerkracht, enz.)?","Gibt es einen anderen Erwachsenen, der bezahlt wird, um Ihnen in dieser Klasse zu helfen (z.B. Lehrassistent, Co-Lehrkraft, etc.)?","¿Hay algún otro adulto que reciba remuneración por ayudarle en este salón (por ejemplo, un profesor asistente, profesor que trabaja con usted en docencia compartida, entre otros)?","E be say another adult dey wey dem dey pay to help you for this classroom (e.g., teaching assistant, co-lead teacher, etc.)?"
TeacherOtherAdult,teacher_survey_classroom,Yes,Yes,Sí,Ja,Oui,Ja,Ja,Sí,Yes
TeacherOtherAdult,teacher_survey_classroom,No,No,No,Nein,Non,Nee,Nein,No,No
TeacherStudentsEnroll,teacher_survey_classroom,How many students are enrolled in this classroom?,How many students are enrolled in this classroom?,¿Cuántos estudiantes hay matriculados en este salón?,Wie viele Schüler sind in dieser Klasse eingeschrieben?,Combien d'élèves sont inscrits dans cette salle de classe ?,Hoeveel studenten zijn er ingeschreven in dit klaslokaal?,Wie viele Schüler sind in dieser Klasse eingeschrieben?,¿Cuántos estudiantes hay matriculados en este salón?,How many students dem enroll for this classroom?
TeacherStudentsEnroll,teacher_survey_classroom,number of students,number of students,número de estudiantes,Anzahl der Schüler,nombre d'élèves,aantal studenten,Anzahl der Schüler,número de estudiantes,number of students
TeacherStudentsGender,teacher_survey_classroom,How many children of each gender are in this class?,How many children of each gender are in this class?,¿Cuántos niños de cada género hay en esta clase?,Wie viele Kinder jedes Geschlechts sind in dieser Klasse?,Combien d'enfants de chaque sexe y a-t-il dans cette classe ?,Hoeveel kinderen van elk geslacht zijn er in deze klas?,Wie viele Kinder jedes Geschlechts gibt es in dieser Klasse?,¿Cuántos niños de cada género hay en esta clase?,How many children of each gender dey inside this class?
TeacherStudentsGenderGirls,teacher_survey_classroom,number,number,número de,Anzahl,nombre,aantal,Anzahl,número de,number
TeacherStudentsGenderGirls,teacher_survey_classroom,Girls,Girls,Niñas,Mädchen,Filles,Meisjes,Mädchen,Niñas,Girls
